County,Date,Status (as of 2024-06-04),Number of Transactions
Baker,3/7/2020,Approved,14
Baker,3/8/2020,Approved,12
Baker,3/9/2020,Approved,2
Baker,3/10/2020,Approved,7
Baker,3/10/2020,Denied,1
Baker,3/11/2020,Approved,8
Baker,3/12/2020,Approved,4
Baker,3/13/2020,Approved,9
Baker,3/14/2020,Approved,9
Baker,3/15/2020,Approved,5
Baker,3/16/2020,Approved,10
Baker,3/17/2020,Approved,14
Baker,3/18/2020,Approved,11
Baker,3/18/2020,Denied,1
Baker,3/19/2020,Approved,5
Baker,3/20/2020,Approved,20
Baker,3/20/2020,Canceled,1
Baker,3/21/2020,Approved,13
Baker,3/22/2020,Approved,6
Baker,3/22/2020,Denied,1
Baker,3/23/2020,Approved,12
Baker,3/24/2020,Approved,6
Baker,3/24/2020,Canceled,1
Baker,3/25/2020,Approved,8
Baker,3/26/2020,Approved,8
Baker,3/26/2020,Denied,1
Baker,3/27/2020,Approved,7
Baker,3/28/2020,Approved,7
Baker,3/29/2020,Approved,2
Baker,3/31/2020,Approved,8
Baker,4/1/2020,Approved,9
Baker,4/2/2020,Approved,6
Baker,4/3/2020,Approved,12
Baker,4/4/2020,Approved,7
Baker,4/5/2020,Approved,1
Baker,4/6/2020,Approved,4
Baker,4/7/2020,Approved,11
Baker,4/8/2020,Approved,5
Baker,4/8/2020,Canceled,1
Baker,4/9/2020,Approved,5
Baker,4/10/2020,Approved,7
Baker,4/11/2020,Approved,8
Baker,4/11/2020,Canceled,2
Baker,4/12/2020,Approved,2
Baker,4/13/2020,Approved,6
Baker,4/13/2020,Canceled,1
Baker,4/14/2020,Approved,14
Baker,4/15/2020,Approved,25
Baker,4/16/2020,Approved,14
Baker,4/16/2020,Denied,2
Baker,4/17/2020,Approved,21
Baker,4/18/2020,Approved,16
Baker,4/18/2020,Canceled,1
Baker,4/19/2020,Approved,10
Baker,4/20/2020,Approved,12
Baker,4/20/2020,Canceled,1
Baker,4/21/2020,Approved,18
Baker,4/22/2020,Approved,7
Baker,4/23/2020,Approved,12
Baker,4/24/2020,Approved,8
Baker,4/25/2020,Approved,8
Baker,4/25/2020,Denied,1
Baker,4/26/2020,Approved,11
Baker,4/27/2020,Approved,7
Baker,4/28/2020,Approved,12
Baker,4/28/2020,Canceled,1
Baker,4/29/2020,Approved,11
Baker,4/29/2020,Canceled,1
Baker,4/30/2020,Approved,11
Baker,5/1/2020,Approved,11
Baker,5/2/2020,Approved,13
Baker,5/3/2020,Approved,6
Baker,5/4/2020,Approved,10
Baker,5/4/2020,Canceled,1
Baker,5/5/2020,Approved,3
Baker,5/6/2020,Approved,8
Baker,5/6/2020,Denied,2
Baker,5/7/2020,Approved,10
Baker,5/8/2020,Approved,15
Baker,5/8/2020,Canceled,1
Baker,5/8/2020,Denied,1
Baker,5/9/2020,Approved,9
Baker,5/10/2020,Approved,2
Baker,5/11/2020,Approved,6
Baker,5/11/2020,Canceled,1
Baker,5/11/2020,Denied,1
Baker,5/12/2020,Approved,10
Baker,5/13/2020,Approved,9
Baker,5/14/2020,Approved,9
Baker,5/15/2020,Approved,9
Baker,5/16/2020,Approved,7
Baker,5/16/2020,Canceled,2
Baker,5/17/2020,Approved,8
Baker,5/18/2020,Approved,6
Baker,5/19/2020,Approved,9
Baker,5/20/2020,Approved,10
Baker,5/20/2020,Canceled,1
Baker,5/20/2020,Denied,1
Baker,5/21/2020,Approved,6
Baker,5/22/2020,Approved,8
Baker,5/23/2020,Approved,7
Baker,5/24/2020,Approved,5
Baker,5/25/2020,Approved,5
Baker,5/26/2020,Approved,6
Baker,5/27/2020,Approved,5
Baker,5/28/2020,Approved,7
Baker,5/29/2020,Approved,7
Baker,5/30/2020,Approved,9
Baker,5/31/2020,Approved,6
Baker,6/1/2020,Approved,9
Baker,6/2/2020,Approved,12
Baker,6/3/2020,Approved,13
Baker,6/4/2020,Approved,12
Baker,6/5/2020,Approved,7
Baker,6/6/2020,Approved,6
Baker,6/6/2020,Canceled,1
Baker,6/7/2020,Approved,4
Baker,6/8/2020,Approved,11
Baker,6/9/2020,Approved,7
Baker,6/9/2020,Canceled,1
Baker,6/10/2020,Approved,6
Baker,6/11/2020,Approved,13
Baker,6/12/2020,Approved,3
Baker,6/13/2020,Approved,11
Baker,6/14/2020,Approved,4
Baker,6/15/2020,Approved,6
Baker,6/16/2020,Approved,11
Baker,6/16/2020,Canceled,1
Baker,6/17/2020,Approved,9
Baker,6/18/2020,Approved,10
Baker,6/19/2020,Approved,14
Baker,6/20/2020,Approved,12
Baker,6/20/2020,Canceled,1
Baker,6/21/2020,Approved,6
Baker,6/22/2020,Approved,8
Baker,6/23/2020,Approved,7
Baker,6/24/2020,Approved,6
Baker,6/25/2020,Approved,7
Baker,6/26/2020,Approved,6
Baker,6/27/2020,Approved,4
Baker,6/28/2020,Approved,6
Baker,6/29/2020,Approved,8
Baker,6/29/2020,Canceled,1
Baker,6/30/2020,Approved,6
Baker,6/30/2020,Canceled,1
Baker,7/1/2020,Approved,9
Baker,7/1/2020,Canceled,1
Baker,7/2/2020,Approved,7
Baker,7/2/2020,Denied,1
Baker,7/3/2020,Approved,10
Baker,7/4/2020,Approved,1
Baker,7/5/2020,Approved,7
Baker,7/6/2020,Approved,6
Baker,7/7/2020,Approved,10
Baker,7/8/2020,Approved,6
Baker,7/8/2020,Canceled,1
Baker,7/9/2020,Approved,9
Baker,7/9/2020,Canceled,1
Baker,7/10/2020,Approved,10
Baker,7/11/2020,Approved,7
Baker,7/12/2020,Approved,1
Baker,7/13/2020,Approved,5
Baker,7/14/2020,Approved,4
Baker,7/15/2020,Approved,8
Baker,7/16/2020,Approved,5
Baker,7/17/2020,Approved,9
Baker,7/18/2020,Approved,10
Baker,7/19/2020,Approved,3
Baker,7/20/2020,Approved,6
Baker,7/21/2020,Approved,8
Baker,7/22/2020,Approved,6
Baker,7/23/2020,Approved,3
Baker,7/24/2020,Approved,12
Baker,7/25/2020,Approved,5
Baker,7/26/2020,Approved,3
Baker,7/26/2020,Canceled,1
Baker,7/27/2020,Approved,3
Baker,7/28/2020,Approved,14
Baker,7/29/2020,Approved,2
Baker,7/30/2020,Approved,9
Baker,7/31/2020,Approved,9
Baker,7/31/2020,Canceled,2
Baker,8/1/2020,Approved,11
Baker,8/1/2020,Canceled,1
Baker,8/2/2020,Approved,3
Baker,8/3/2020,Approved,2
Baker,8/4/2020,Approved,8
Baker,8/5/2020,Approved,4
Baker,8/6/2020,Approved,10
Baker,8/7/2020,Approved,4
Baker,8/7/2020,Canceled,1
Baker,8/8/2020,Approved,7
Baker,8/9/2020,Approved,3
Baker,8/10/2020,Approved,4
Baker,8/10/2020,Canceled,1
Baker,8/11/2020,Approved,7
Baker,8/12/2020,Approved,5
Baker,8/12/2020,Canceled,1
Baker,8/13/2020,Approved,11
Baker,8/14/2020,Approved,12
Baker,8/14/2020,Canceled,1
Baker,8/15/2020,Approved,11
Baker,8/15/2020,Canceled,1
Baker,8/16/2020,Approved,6
Baker,8/17/2020,Approved,25
Baker,8/18/2020,Approved,13
Baker,8/19/2020,Approved,13
Baker,8/20/2020,Approved,9
Baker,8/21/2020,Approved,5
Baker,8/21/2020,Denied,1
Baker,8/22/2020,Approved,14
Baker,8/23/2020,Approved,4
Baker,8/24/2020,Approved,7
Baker,8/25/2020,Approved,7
Baker,8/26/2020,Approved,7
Baker,8/27/2020,Approved,5
Baker,8/28/2020,Approved,8
Baker,8/29/2020,Approved,5
Baker,8/30/2020,Approved,8
Baker,8/31/2020,Approved,5
Baker,9/1/2020,Approved,6
Baker,9/2/2020,Approved,8
Baker,9/3/2020,Approved,6
Baker,9/4/2020,Approved,11
Baker,9/5/2020,Approved,12
Baker,9/6/2020,Approved,2
Baker,9/7/2020,Approved,3
Baker,9/8/2020,Approved,4
Baker,9/9/2020,Approved,9
Baker,9/10/2020,Approved,10
Baker,9/11/2020,Approved,12
Baker,9/12/2020,Approved,7
Baker,9/12/2020,Canceled,1
Baker,9/13/2020,Approved,6
Baker,9/14/2020,Approved,8
Baker,9/15/2020,Approved,4
Baker,9/15/2020,Canceled,1
Baker,9/16/2020,Approved,8
Baker,9/17/2020,Approved,6
Baker,9/18/2020,Approved,10
Baker,9/19/2020,Approved,9
Baker,9/20/2020,Approved,3
Baker,9/21/2020,Approved,8
Baker,9/22/2020,Approved,5
Baker,9/23/2020,Approved,7
Baker,9/24/2020,Approved,9
Baker,9/25/2020,Approved,13
Baker,9/26/2020,Approved,7
Baker,9/26/2020,Canceled,1
Baker,9/27/2020,Approved,5
Baker,9/28/2020,Approved,5
Baker,9/29/2020,Approved,8
Baker,9/30/2020,Approved,1
Baker,9/30/2020,Canceled,1
Baker,10/1/2020,Approved,10
Baker,10/1/2020,Canceled,1
Baker,10/2/2020,Approved,10
Baker,10/3/2020,Approved,5
Baker,10/5/2020,Approved,5
Baker,10/6/2020,Approved,7
Baker,10/7/2020,Approved,9
Baker,10/8/2020,Approved,5
Baker,10/8/2020,Canceled,1
Baker,10/9/2020,Approved,8
Baker,10/10/2020,Approved,7
Baker,10/10/2020,Denied,1
Baker,10/11/2020,Approved,2
Baker,10/12/2020,Approved,6
Baker,10/13/2020,Approved,8
Baker,10/13/2020,Canceled,1
Baker,10/14/2020,Approved,10
Baker,10/15/2020,Approved,6
Baker,10/16/2020,Approved,8
Baker,10/17/2020,Approved,6
Baker,10/18/2020,Approved,8
Baker,10/19/2020,Approved,8
Baker,10/19/2020,Canceled,2
Baker,10/20/2020,Approved,11
Baker,10/21/2020,Approved,4
Baker,10/22/2020,Approved,13
Baker,10/23/2020,Approved,5
Baker,10/23/2020,Canceled,1
Baker,10/24/2020,Approved,12
Baker,10/25/2020,Approved,4
Baker,10/26/2020,Approved,6
Baker,10/27/2020,Approved,13
Baker,10/28/2020,Approved,4
Baker,10/29/2020,Approved,7
Baker,10/29/2020,Denied,1
Baker,10/30/2020,Approved,5
Baker,10/31/2020,Approved,9
Baker,11/1/2020,Approved,6
Baker,11/1/2020,Canceled,1
Baker,11/2/2020,Approved,6
Baker,11/3/2020,Approved,12
Baker,11/4/2020,Approved,14
Baker,11/5/2020,Approved,11
Baker,11/5/2020,Pending,1
Baker,11/6/2020,Approved,11
Baker,11/6/2020,Canceled,1
Baker,11/7/2020,Approved,15
Baker,11/8/2020,Approved,11
Baker,11/9/2020,Approved,9
Baker,11/10/2020,Approved,11
Baker,11/11/2020,Approved,7
Baker,11/12/2020,Approved,3
Baker,11/12/2020,Denied,1
Baker,11/13/2020,Approved,13
Baker,11/13/2020,Canceled,1
Baker,11/14/2020,Approved,6
Baker,11/15/2020,Approved,5
Baker,11/16/2020,Approved,3
Baker,11/17/2020,Approved,7
Baker,11/18/2020,Approved,7
Baker,11/19/2020,Approved,4
Baker,11/20/2020,Approved,10
Baker,11/21/2020,Approved,5
Baker,11/22/2020,Approved,4
Baker,11/23/2020,Approved,7
Baker,11/24/2020,Approved,11
Baker,11/25/2020,Approved,15
Baker,11/27/2020,Approved,23
Baker,11/28/2020,Approved,9
Baker,11/29/2020,Approved,5
Baker,11/30/2020,Approved,5
Baker,12/1/2020,Approved,8
Baker,12/2/2020,Approved,9
Baker,12/3/2020,Approved,6
Baker,12/4/2020,Approved,7
Baker,12/4/2020,Canceled,1
Baker,12/5/2020,Approved,10
Baker,12/5/2020,Denied,1
Baker,12/6/2020,Approved,5
Baker,12/7/2020,Approved,5
Baker,12/8/2020,Approved,8
Baker,12/9/2020,Approved,8
Baker,12/10/2020,Approved,9
Baker,12/11/2020,Approved,10
Baker,12/11/2020,Canceled,1
Baker,12/12/2020,Approved,5
Baker,12/12/2020,Canceled,1
Baker,12/12/2020,Denied,1
Baker,12/13/2020,Approved,6
Baker,12/14/2020,Approved,4
Baker,12/14/2020,Canceled,1
Baker,12/15/2020,Approved,8
Baker,12/16/2020,Approved,7
Baker,12/17/2020,Approved,9
Baker,12/18/2020,Approved,19
Baker,12/19/2020,Approved,15
Baker,12/20/2020,Approved,3
Baker,12/20/2020,Canceled,1
Baker,12/21/2020,Approved,4
Baker,12/22/2020,Approved,8
Baker,12/22/2020,Canceled,2
Baker,12/23/2020,Approved,7
Baker,12/23/2020,Canceled,1
Baker,12/24/2020,Approved,11
Baker,12/26/2020,Approved,12
Baker,12/27/2020,Approved,8
Baker,12/27/2020,Canceled,1
Baker,12/28/2020,Approved,7
Baker,12/29/2020,Approved,11
Baker,12/29/2020,Denied,1
Baker,12/30/2020,Approved,11
Baker,12/31/2020,Approved,13
Baker,1/1/2021,Approved,2
Baker,1/2/2021,Approved,15
Baker,1/3/2021,Approved,7
Baker,1/4/2021,Approved,7
Baker,1/5/2021,Approved,16
Baker,1/6/2021,Approved,11
Baker,1/7/2021,Approved,12
Baker,1/8/2021,Approved,13
Baker,1/9/2021,Approved,11
Baker,1/10/2021,Approved,6
Baker,1/11/2021,Approved,6
Baker,1/12/2021,Approved,11
Baker,1/12/2021,Canceled,2
Baker,1/13/2021,Approved,12
Baker,1/13/2021,Canceled,1
Baker,1/14/2021,Approved,7
Baker,1/14/2021,Canceled,1
Baker,1/15/2021,Approved,21
Baker,1/16/2021,Approved,15
Baker,1/17/2021,Approved,6
Baker,1/18/2021,Approved,4
Baker,1/19/2021,Approved,10
Baker,1/19/2021,Canceled,1
Baker,1/20/2021,Approved,6
Baker,1/21/2021,Approved,8
Baker,1/22/2021,Approved,9
Baker,1/23/2021,Approved,8
Baker,1/24/2021,Approved,7
Baker,1/25/2021,Approved,7
Baker,1/26/2021,Approved,11
Baker,1/27/2021,Approved,7
Baker,1/28/2021,Approved,9
Baker,1/28/2021,Denied,1
Baker,1/29/2021,Approved,12
Baker,1/30/2021,Approved,5
Baker,1/31/2021,Approved,8
Baker,2/1/2021,Approved,5
Baker,2/2/2021,Approved,8
Baker,2/3/2021,Approved,6
Baker,2/4/2021,Approved,11
Baker,2/5/2021,Approved,10
Baker,2/6/2021,Approved,6
Baker,2/7/2021,Approved,4
Baker,2/8/2021,Approved,3
Baker,2/9/2021,Approved,10
Baker,2/10/2021,Approved,12
Baker,2/11/2021,Approved,2
Baker,2/11/2021,Canceled,1
Baker,2/12/2021,Approved,10
Baker,2/13/2021,Approved,7
Baker,2/14/2021,Approved,3
Baker,2/15/2021,Approved,1
Baker,2/16/2021,Approved,5
Baker,2/17/2021,Approved,4
Baker,2/18/2021,Approved,12
Baker,2/19/2021,Approved,9
Baker,2/20/2021,Approved,2
Baker,2/21/2021,Approved,2
Baker,2/22/2021,Approved,7
Baker,2/23/2021,Approved,7
Baker,2/23/2021,Canceled,1
Baker,2/24/2021,Approved,6
Baker,2/24/2021,Canceled,1
Baker,2/25/2021,Approved,19
Baker,2/26/2021,Approved,7
Baker,2/27/2021,Approved,12
Baker,2/28/2021,Approved,2
Baker,3/1/2021,Approved,6
Baker,3/2/2021,Approved,10
Baker,3/3/2021,Approved,5
Baker,3/4/2021,Approved,7
Baker,3/4/2021,Canceled,1
Baker,3/5/2021,Approved,3
Baker,3/5/2021,Canceled,1
Baker,3/6/2021,Approved,7
Baker,3/7/2021,Approved,7
Baker,3/8/2021,Approved,2
Baker,3/9/2021,Approved,10
Baker,3/10/2021,Approved,4
Baker,3/11/2021,Approved,9
Baker,3/11/2021,Canceled,1
Baker,3/12/2021,Approved,9
Baker,3/13/2021,Approved,6
Baker,3/14/2021,Approved,3
Baker,3/15/2021,Approved,8
Baker,3/15/2021,Denied,1
Baker,3/16/2021,Approved,8
Baker,3/16/2021,Denied,1
Baker,3/17/2021,Approved,8
Baker,3/17/2021,Canceled,1
Baker,3/18/2021,Approved,6
Baker,3/19/2021,Approved,16
Baker,3/20/2021,Approved,16
Baker,3/21/2021,Approved,4
Baker,3/22/2021,Approved,4
Baker,3/23/2021,Approved,8
Baker,3/23/2021,Canceled,1
Baker,3/24/2021,Approved,6
Baker,3/25/2021,Approved,10
Baker,3/26/2021,Approved,8
Baker,3/26/2021,Canceled,1
Baker,3/27/2021,Approved,16
Baker,3/28/2021,Approved,7
Baker,3/28/2021,Canceled,2
Baker,3/29/2021,Approved,7
Baker,3/29/2021,Denied,1
Baker,3/29/2021,Pending,1
Baker,3/30/2021,Approved,5
Baker,3/31/2021,Approved,13
Baker,3/31/2021,Canceled,1
Baker,4/1/2021,Approved,9
Baker,4/2/2021,Approved,7
Baker,4/3/2021,Approved,8
Baker,4/3/2021,Canceled,2
Baker,4/5/2021,Approved,9
Baker,4/6/2021,Approved,7
Baker,4/7/2021,Approved,9
Baker,4/7/2021,Canceled,1
Baker,4/8/2021,Approved,7
Baker,4/8/2021,Denied,1
Baker,4/9/2021,Approved,4
Baker,4/10/2021,Approved,9
Baker,4/11/2021,Approved,8
Baker,4/12/2021,Approved,5
Baker,4/13/2021,Approved,7
Baker,4/14/2021,Approved,10
Baker,4/15/2021,Approved,4
Baker,4/16/2021,Approved,11
Baker,4/17/2021,Approved,9
Baker,4/18/2021,Approved,4
Baker,4/19/2021,Approved,5
Baker,4/20/2021,Approved,8
Baker,4/21/2021,Approved,8
Baker,4/21/2021,Canceled,1
Baker,4/22/2021,Approved,3
Baker,4/23/2021,Approved,5
Baker,4/24/2021,Approved,6
Baker,4/25/2021,Approved,2
Baker,4/27/2021,Approved,5
Baker,4/28/2021,Approved,2
Baker,4/29/2021,Approved,7
Baker,4/30/2021,Approved,9
Baker,5/1/2021,Approved,10
Baker,5/1/2021,Canceled,1
Baker,5/2/2021,Approved,7
Baker,5/2/2021,Denied,1
Baker,5/3/2021,Approved,6
Baker,5/4/2021,Approved,4
Baker,5/5/2021,Approved,4
Baker,5/6/2021,Approved,6
Baker,5/7/2021,Approved,14
Baker,5/8/2021,Approved,8
Baker,5/8/2021,Canceled,1
Baker,5/9/2021,Approved,1
Baker,5/10/2021,Approved,4
Baker,5/11/2021,Approved,4
Baker,5/12/2021,Approved,5
Baker,5/12/2021,Canceled,1
Baker,5/13/2021,Approved,9
Baker,5/14/2021,Approved,9
Baker,5/14/2021,Canceled,3
Baker,5/15/2021,Approved,3
