Category: All categories

Day,Measure 114: (Medford-Klamath Falls OR),Oregon Ducks football: (Medford-Klamath Falls OR),Wordle: (Medford-Klamath Falls OR),Taylor Swift: (Medford-Klamath Falls OR),COVID: (Medford-Klamath Falls OR)
2022-10-31,0,0,37,0,15
2022-11-01,0,0,29,13,26
2022-11-02,0,0,31,0,23
2022-11-03,0,8,27,0,18
2022-11-04,0,0,22,0,19
2022-11-05,0,52,27,0,15
2022-11-06,12,22,29,0,17
2022-11-07,0,10,25,0,21
2022-11-08,9,0,24,0,14
2022-11-09,100,0,19,0,16
2022-11-10,63,0,27,0,17
2022-11-11,37,16,25,0,14
2022-11-12,24,35,21,0,24
2022-11-13,16,74,31,0,22
2022-11-14,9,0,20,0,20
2022-11-15,12,0,24,18,23
2022-11-16,0,12,24,23,16
2022-11-17,9,9,31,11,20
2022-11-18,0,0,33,10,20
2022-11-19,0,28,32,13,18
2022-11-20,0,71,28,0,21
2022-11-21,0,9,23,9,24
2022-11-22,0,0,29,0,15
2022-11-23,0,10,31,0,17
2022-11-24,0,0,31,0,19
2022-11-25,0,14,26,0,12
2022-11-26,0,55,34,0,20
2022-11-27,0,30,27,0,19
2022-11-28,0,0,23,0,27
2022-11-29,0,0,32,0,24
2022-11-30,0,0,34,0,10
2022-12-01,8,0,32,0,17
2022-12-02,10,0,25,0,18
2022-12-03,0,11,22,0,18
2022-12-04,10,13,24,0,14
2022-12-05,0,8,20,0,17
2022-12-06,13,0,20,0,16
2022-12-07,18,0,25,0,24
2022-12-08,21,0,21,0,19
2022-12-09,0,0,26,8,17
2022-12-10,0,0,26,0,20
2022-12-11,0,0,29,10,19
2022-12-12,0,9,23,0,21
2022-12-13,13,0,30,0,24
2022-12-14,0,0,31,0,23
2022-12-15,0,0,26,0,24
2022-12-16,0,10,29,11,21
2022-12-17,0,11,25,0,16
2022-12-18,0,0,25,0,15
2022-12-19,0,11,31,0,25
2022-12-20,0,0,23,0,17
2022-12-21,0,11,27,0,16
2022-12-22,0,9,26,0,24
2022-12-23,0,0,32,0,25
2022-12-24,0,10,25,0,17
2022-12-25,0,0,25,0,19
2022-12-26,0,0,39,0,22
2022-12-27,0,0,36,0,23
2022-12-28,0,11,30,0,19
2022-12-29,0,39,31,0,17
2022-12-30,0,0,23,0,17
2022-12-31,0,0,27,9,17
2023-01-01,0,0,21,0,16
2023-01-02,0,0,20,0,16
2023-01-03,0,0,24,0,14
2023-01-04,0,0,30,0,11
2023-01-05,0,0,21,0,16
2023-01-06,0,0,31,0,16
2023-01-07,0,0,33,0,27
2023-01-08,0,0,29,0,17
2023-01-09,0,0,29,0,14
2023-01-10,0,0,32,0,17
2023-01-11,0,0,31,0,15
2023-01-12,0,0,30,0,15
2023-01-13,0,0,25,0,9
2023-01-14,9,0,30,0,0
2023-01-15,0,0,23,0,0
2023-01-16,0,0,24,0,11
2023-01-17,0,8,24,0,13
2023-01-18,0,0,29,0,10
2023-01-19,0,0,31,0,19
2023-01-20,0,0,28,0,16
2023-01-21,0,0,24,0,14
2023-01-22,0,0,22,0,12
2023-01-23,0,0,32,0,16
2023-01-24,0,0,31,0,16
2023-01-25,0,0,32,0,11
2023-01-26,0,0,30,0,10
2023-01-27,0,0,25,0,12
2023-01-28,0,0,24,0,17
2023-01-29,0,0,17,0,11
2023-01-30,0,0,15,0,16
2023-01-31,0,0,23,0,13
2023-02-01,0,9,27,0,15
2023-02-02,0,0,24,0,15
2023-02-03,0,0,27,0,18
2023-02-04,0,0,30,0,17
2023-02-05,0,0,34,0,14
2023-02-06,0,0,22,0,16
2023-02-07,0,0,34,0,15
2023-02-08,0,0,24,0,13
2023-02-09,0,0,25,0,16
2023-02-10,0,11,24,0,23
2023-02-11,0,0,31,0,0
2023-02-12,0,0,18,0,11
2023-02-13,0,0,32,0,15
2023-02-14,0,0,30,0,9
2023-02-15,0,0,27,0,12
2023-02-16,0,0,30,0,15
2023-02-17,0,0,35,0,0
2023-02-18,0,0,22,0,13
2023-02-19,0,0,28,0,0
2023-02-20,0,0,29,0,16
2023-02-21,0,0,28,0,18
2023-02-22,0,0,32,0,13
2023-02-23,0,0,29,0,20
2023-02-24,0,0,29,0,20
2023-02-25,0,0,22,0,0
2023-02-26,0,0,27,0,12
2023-02-27,0,0,25,0,15
2023-02-28,0,0,17,8,11
